f,PRICE 12PK,PRICE_12PK_LN,PPC_12,PRICE 18PK,PRICE_18PK_LN,PPC_18,PRICE 30PK,PRICE_30PK_LN,PPC_30,CASES 12PK,CASES_12PK_LN,CASES 18PK,CASES_18PK_LN,CASES 30PK,CASES_30PK_LN,,Source:,http://people.duke.edu/~rnau/forecasting.htm
1,19.98,2.995,1.665,14.1,2.646,0.783333333,15.19,2.721,0.506333333,223.5,5.409,439,6.0845,55,4.007,,,
2,19.98,2.995,1.665,18.65,2.926,1.036111111,15.19,2.721,0.506333333,215,5.371,98,4.585,66.75,4.201,,,
3,19.98,2.995,1.665,18.65,2.926,1.036111111,13.87,2.63,0.462333333,227.5,5.427,70,4.2485,242,5.489,,,
4,19.98,2.995,1.665,18.65,2.926,1.036111111,12.83,2.552,0.427666667,244.5,5.499,52,3.9512,488.5,6.191,,,
5,19.98,2.995,1.665,18.65,2.926,1.036111111,13.16,2.577,0.438666667,313.5,5.748,64,4.1589,308.75,5.733,,,
6,19.98,2.995,1.665,18.65,2.926,1.036111111,15.19,2.721,0.506333333,279,5.631,72,4.2767,111.75,4.716,,,
7,19.98,2.995,1.665,18.65,2.926,1.036111111,13.92,2.633,0.464,238,5.472,47,3.8501,252.5,5.531,,,
8,20.1,3.001,1.675,18.73,2.93,1.040555556,14.42,2.669,0.480666667,315.5,5.754,85,4.4427,221.25,5.399,,,
9,20.12,3.002,1.676666667,18.75,2.931,1.041666667,13.83,2.627,0.461,217,5.38,59,4.0775,245.25,5.502,,,
10,20.13,3.002,1.6775,18.75,2.931,1.041666667,14.5,2.674,0.483333333,209.5,5.345,63,4.1431,148.5,5.001,,,
11,20.14,3.003,1.678333333,18.75,2.931,1.041666667,13.87,2.63,0.462333333,227,5.425,57,4.0431,229.75,5.437,,,
12,20.12,3.002,1.676666667,18.75,2.931,1.041666667,13.64,2.613,0.454666667,216.5,5.378,54,3.989,312,5.743,,,
13,20.12,3.002,1.676666667,13.87,2.63,0.770555556,14.31,2.661,0.477,169,5.13,404,6.0014,96.75,4.572,,,
14,20.13,3.002,1.6775,14.27,2.658,0.792777778,13.85,2.628,0.461666667,178,5.182,380,5.9402,123.25,4.814,,,
15,20.14,3.003,1.678333333,18.76,2.932,1.042222222,14.2,2.653,0.473333333,301.5,5.709,65,4.1744,200.5,5.301,,,
16,20.14,3.003,1.678333333,18.77,2.932,1.042777778,13.64,2.613,0.454666667,266.5,5.585,40,3.6889,359.75,5.885,,,
17,20.13,3.002,1.6775,13.87,2.63,0.770555556,14.33,2.662,0.477666667,182.5,5.207,456,6.1225,113.5,4.732,,,
18,20.13,3.002,1.6775,14.14,2.649,0.785555556,13.14,2.576,0.438,159,5.069,176,5.1705,136.5,4.916,,,
19,20.13,3.002,1.6775,18.76,2.932,1.042222222,13.81,2.625,0.460333333,285.5,5.654,61,4.1109,225.5,5.418,,,
20,20.13,3.002,1.6775,18.72,2.93,1.04,15.19,2.721,0.506333333,360,5.886,91,4.5109,122.25,4.806,,,
21,20.13,3.002,1.6775,18.76,2.932,1.042222222,13.13,2.575,0.437666667,263,5.572,59,4.0775,443.75,6.095,,,
22,19.18,2.954,1.598333333,18.76,2.932,1.042222222,13.63,2.612,0.454333333,443.5,6.095,83,4.4188,322.75,5.777,,,
23,14.78,2.693,1.231666667,18.74,2.931,1.041111111,15.19,2.721,0.506333333,1101.5,7.004,41,3.7136,53,3.97,,,
24,16.04,2.775,1.336666667,18.75,2.931,1.041666667,13.89,2.631,0.463,814,6.702,47,3.8501,140.75,4.947,,,
