Subject,Educ,Income2005,SortOrd
5488,<12,350,1
597,<12,500,1
1090,<12,1300,1
228,<12,1600,1
4235,<12,2000,1
2971,<12,2100,1
1153,<12,2300,1
4047,<12,2400,1
4681,<12,3000,1
1797,<12,3040,1
1548,<12,4000,1
2224,<12,5000,1
2655,<12,5300,1
2698,<12,6000,1
3319,<12,6000,1
5469,<12,7200,1
1820,<12,8000,1
3436,<12,8000,1
11787,<12,8000,1
675,<12,8400,1
239,<12,9000,1
11814,<12,9000,1
5446,<12,9600,1
701,<12,9800,1
2747,<12,9984,1
1436,<12,10000,1
2134,<12,10000,1
2867,<12,10000,1
11751,<12,10000,1
1068,<12,12000,1
4733,<12,12000,1
11818,<12,13000,1
2666,<12,13700,1
86,<12,14000,1
156,<12,14000,1
2705,<12,14000,1
3438,<12,14000,1
3572,<12,14000,1
2348,<12,14560,1
188,<12,15000,1
4181,<12,15000,1
3607,<12,16000,1
2675,<12,17000,1
631,<12,18000,1
2403,<12,18000,1
2485,<12,18000,1
4503,<12,18000,1
5519,<12,18000,1
2462,<12,18420,1
2661,<12,18674,1
290,<12,19000,1
1413,<12,19000,1
1824,<12,19000,1
4417,<12,19000,1
3343,<12,19968,1
253,<12,20000,1
714,<12,20000,1
2051,<12,20000,1
2653,<12,20000,1
4731,<12,20017,1
3321,<12,21000,1
2466,<12,22000,1
4068,<12,22000,1
4923,<12,22000,1
4937,<12,22000,1
12135,<12,22000,1
324,<12,23000,1
1034,<12,23000,1
1091,<12,24000,1
299,<12,25000,1
585,<12,25000,1
862,<12,25000,1
1455,<12,25000,1
1725,<12,25000,1
3311,<12,25000,1
4476,<12,25000,1
11776,<12,25000,1
2587,<12,25500,1
5132,<12,26000,1
2676,<12,27000,1
5447,<12,27300,1
3030,<12,28500,1
5128,<12,29000,1
2194,<12,30000,1
2254,<12,30000,1
2683,<12,30000,1
3693,<12,30000,1
5269,<12,30000,1
12122,<12,30000,1
4474,<12,30700,1
1148,<12,31000,1
1434,<12,31980,1
2398,<12,32000,1
4901,<12,32000,1
11850,<12,32000,1
285,<12,35000,1
1089,<12,35000,1
1260,<12,35000,1
2716,<12,35000,1
2031,<12,36000,1
